iter	Passed	Remaining
403	5811	8573
404	5827	8561
405	5841	8546
406	5853	8528
407	5864	8508
408	5874	8488
409	5885	8468
410	5895	8448
411	5907	8430
412	5921	8415
413	5933	8399
414	5943	8378
415	5954	8359
416	5965	8339
417	5975	8320
418	5986	8301
419	5996	8281
420	6006	8261
421	6017	8241
422	6028	8222
423	6038	8203
424	6049	8184
425	6059	8164
426	6072	8148
427	6082	8129
428	6093	8110
429	6105	8093
430	6115	8073
431	6125	8053
432	6140	8040
433	6150	8021
434	6162	8004
435	6172	7985
436	6184	7967
437	6194	7947
438	6203	7927
439	6214	7909
440	6225	7891
441	6237	7874
442	6247	7855
443	6258	7836
444	6271	7822
445	6282	7803
446	6292	7785
447	6303	7766
448	6314	7748
449	6326	7732
450	6338	7715
451	6349	7697
452	6361	7681
453	6372	7664
454	6383	7646
455	6394	7628
456	6404	7609
457	6415	7591
458	6426	7574
459	6436	7555
460	6447	7538
461	6458	7521
462	6469	7503
463	6480	7485
464	6492	7470
465	6502	7451
466	6515	7435
467	6526	7419
468	6538	7403
469	6549	7385
470	6560	7368
471	6570	7350
472	6581	7332
473	6594	7317
474	6608	7303
475	6618	7286
476	6632	7271
477	6643	7254
478	6656	7239
479	6666	7222
480	6677	7205
481	6688	7188
482	6700	7172
483	6710	7154
484	6721	7137
485	6733	7121
486	6745	7105
487	6757	7090
488	6770	7074
489	6780	7057
490	6792	7041
491	6803	7025
492	6814	7008
493	6825	6991
494	6837	6975
495	6848	6959
496	6859	6942
497	6869	6924
498	6881	6908
499	6891	6891
500	6903	6875
501	6915	6860
502	6925	6843
503	6936	6825
504	6949	6812
505	6961	6796
506	6971	6778
507	6983	6763
508	6994	6746
509	7003	6728
510	7018	6716
511	7034	6704
512	7044	6687
513	7054	6670
514	7066	6654
515	7076	6637
516	7086	6620
517	7098	6604
518	7108	6588
519	7118	6571
520	7132	6557
521	7143	6541
522	7155	6526
523	7171	6514
524	7183	6498
525	7195	6484
526	7206	6468
527	7216	6451
528	7228	6435
529	7238	6419
530	7250	6403
531	7262	6388
532	7271	6371
533	7282	6354
534	7292	6338
535	7303	6322
536	7315	6307
537	7328	6292
538	7338	6276
539	7348	6260
540	7361	6245
541	7372	6229
542	7382	6213
543	7392	6197
544	7403	6181
545	7413	6164
546	7424	6148
547	7437	6134
548	7448	6118
549	7459	6102
550	7470	6087
551	7484	6074
552	7495	6058
553	7506	6043
554	7519	6029
555	7529	6013
556	7541	5998
557	7553	5983
558	7563	5967
559	7575	5951
560	7586	5936
561	7599	5922
562	7612	5909
563	7624	5894
564	7636	5879
565	7646	5863
566	7656	5847
567	7668	5832
568	7681	5818
569	7692	5802
570	7703	5787
571	7714	5772
572	7724	5756
573	7736	5741
574	7746	5725
575	7757	5710
576	7767	5694
577	7778	5679
578	7789	5663
579	7801	5649
580	7813	5634
581	7824	5619
582	7834	5603
583	7844	5587
584	7855	5572
585	7866	5557
586	7877	5542
587	7888	5527
588	7898	5511
589	7910	5497
590	7921	5482
591	7932	5466
592	7942	5451
593	7962	5442
594	7974	5427
595	7985	5413
596	7996	5397
597	8007	5382
598	8017	5367
599	8028	5352
600	8039	5337
601	8048	5321
602	8060	5306
603	8070	5291
604	8080	5275
605	8094	5262
606	8105	5248
607	8116	5233
608	8128	5218
609	8141	5204
610	8157	5193
611	8171	5180
612	8182	5165
613	8198	5154
614	8209	5139
615	8220	5124
616	8231	5109
617	8243	5095
618	8253	5079
619	8263	5064
620	8274	5049
621	8284	5034
622	8295	5019
623	8308	5006
624	8319	4991
625	8330	4976
626	8340	4961
627	8351	4947
628	8363	4932
629	8375	4919
630	8386	4904
631	8399	4890
632	8412	4877
633	8430	4866
634	8445	4854
635	8459	4841
636	8473	4828
637	8483	4813
638	8494	4798
639	8506	4784
640	8517	4770
641	8527	4754
642	8537	4740
643	8548	4725
644	8560	4711
645	8571	4697
646	8582	4682
647	8592	4667
648	8604	4653
649	8616	4639
650	8626	4624
651	8636	4609
652	8647	4595
653	8657	4580
654	8672	4568
655	8683	4553
656	8695	4539
657	8713	4529
658	8726	4515
659	8737	4501
660	8748	4486
661	8758	4472
662	8770	4457
663	8782	4444
664	8793	4429
665	8803	4414
666	8815	4400
667	8826	4386
668	8838	4373
669	8850	4359
670	8861	4344
671	8871	4330
672	8883	4316
673	8896	4303
674	8915	4292
675	8928	4279
676	8941	4265
677	8954	4252
678	8968	4239
679	8981	4226
680	8993	4213
681	9013	4202
682	9025	4188
683	9040	4176
684	9053	4163
685	9065	4149
686	9079	4136
687	9092	4123
688	9105	4109
689	9115	4095
690	9126	4081
691	9138	4067
692	9148	4052
693	9159	4038
694	9171	4024
695	9182	4010
696	9193	3996
697	9204	3982
698	9221	3970
699	9232	3956
700	9242	3942
701	9254	3928
702	9267	3915
703	9285	3903
704	9295	3889
705	9305	3875
706	9319	3862
707	9329	3847
708	9340	3833
709	9351	3819
710	9362	3805
711	9373	3791
712	9383	3777
713	9393	3762
714	9404	3748
715	9415	3734
716	9425	3720
717	9439	3707
718	9451	3693
719	9462	3679
720	9473	3665
721	9484	3651
722	9495	3637
723	9506	3624
724	9518	3610
725	9529	3596
726	9539	3582
727	9549	3568
728	9561	3554
729	9572	3540
730	9584	3527
731	9597	3513
732	9607	3499
733	9618	3485
734	9631	3472
735	9641	3458
736	9651	3444
737	9663	3430
738	9675	3417
739	9686	3403
740	9706	3392
741	9718	3379
742	9731	3366
743	9741	3352
744	9752	3337
745	9762	3324
746	9772	3309
747	9784	3296
748	9797	3283
749	9812	3270
750	9822	3256
751	9832	3242
752	9846	3229
753	9858	3216
754	9868	3202
755	9880	3189
756	9892	3175
757	9903	3161
758	9915	3148
759	9927	3134
760	9938	3121
761	9949	3107
762	9960	3093
763	9971	3080
764	9981	3066
765	9992	3052
766	10003	3038
767	10014	3025
768	10026	3011
769	10038	2998
770	10047	2984
771	10058	2970
772	10069	2957
773	10079	2943
774	10092	2929
775	10102	2916
776	10118	2904
777	10128	2890
778	10139	2876
779	10151	2863
780	10162	2849
781	10172	2835
782	10184	2822
783	10195	2808
784	10205	2795
785	10217	2781
786	10227	2768
787	10239	2754
788	10253	2742
789	10265	2728
790	10275	2715
791	10287	2701
792	10299	2688
793	10313	2675
794	10328	2663
795	10339	2649
796	10352	2636
797	10362	2622
798	10372	2609
799	10388	2597
800	10401	2584
801	10411	2570
802	10419	2556
803	10428	2542
804	10436	2528
805	10446	2514
806	10455	2500
807	10465	2486
808	10473	2472
809	10482	2458
810	10491	2444
811	10500	2431
812	10510	2417
813	10520	2403
814	10530	2390
815	10538	2376
816	10547	2362
817	10556	2348
818	10564	2334
819	10573	2321
820	10582	2307
821	10592	2293
822	10600	2279
823	10609	2266
824	10618	2252
825	10628	2238
826	10636	2225
827	10645	2211
828	10653	2197
829	10663	2184
830	10672	2170
831	10680	2156
832	10690	2143
833	10699	2129
834	10708	2115
835	10717	2102
836	10727	2089
837	10736	2075
838	10745	2061
839	10755	2048
840	10763	2034
841	10774	2021
842	10782	2008
843	10790	1994
844	10799	1980
845	10808	1967
846	10817	1954
847	10825	1940
848	10834	1926
849	10844	1913
850	10853	1900
851	10860	1886
852	10871	1873
853	10879	1859
854	10888	1846
855	10897	1833
856	10910	1820
857	10920	1807
858	10929	1794
859	10941	1781
860	10950	1767
861	10958	1754
862	10968	1741
863	10977	1727
864	10986	1714
865	10993	1701
866	11003	1688
867	11012	1674
868	11021	1661
869	11029	1648
870	11038	1634
871	11047	1621
872	11055	1608
873	11064	1595
874	11072	1581
875	11082	1568
876	11095	1556
877	11105	1543
878	11118	1530
879	11129	1517
880	11138	1504
881	11148	1491
882	11156	1478
883	11165	1465
884	11175	1452
885	11184	1439
886	11193	1425
887	11202	1412
888	11212	1399
889	11220	1386
890	11229	1373
891	11237	1360
892	11247	1347
893	11255	1334
894	11265	1321
895	11274	1308
896	11283	1295
897	11294	1282
898	11302	1269
899	11312	1256
900	11320	1243
901	11329	1230
902	11337	1217
903	11346	1204
904	11354	1191
905	11362	1178
906	11371	1165
907	11382	1153
908	11394	1140
909	11405	1127
910	11415	1115
911	11427	1102
912	11436	1089
913	11450	1077
914	11461	1064
915	11472	1052
916	11483	1039
917	11495	1026
918	11506	1014
919	11516	1001
920	11528	988
921	11538	976
922	11549	963
923	11562	950
924	11572	938
925	11583	925
926	11594	913
927	11606	900
928	11617	887
929	11628	875
930	11639	862
931	11653	850
932	11665	837
933	11675	825
934	11688	812
935	11700	800
936	11710	787
937	11724	774
938	11736	762
939	11745	749
940	11756	737
941	11770	724
942	11781	712
943	11791	699
944	11802	686
945	11813	674
946	11824	661
947	11836	649
948	11847	636
949	11857	624
950	11869	611
951	11879	598
952	11888	586
953	11900	573
954	11911	561
955	11922	548
956	11933	536
957	11943	523
958	11955	511
959	11966	498
960	11977	486
961	11987	473
962	11999	461
963	12010	448
964	12020	435
965	12031	423
966	12040	410
967	12051	398
968	12063	385
969	12076	373
970	12086	360
971	12097	348
972	12107	335
973	12118	323
974	12130	311
975	12143	298
976	12154	286
977	12164	273
978	12176	261
979	12186	248
980	12197	236
981	12210	223
982	12221	211
983	12230	198
984	12242	186
985	12254	174
986	12266	161
987	12280	149
988	12293	136
989	12304	124
990	12314	111
991	12324	99
992	12335	86
993	12346	74
994	12358	62
995	12367	49
996	12379	37
997	12390	24
998	12402	12
999	12412	0
