iter	MultiClass
333	0.3248811888
334	0.3246148501
335	0.3240954198
336	0.3236722925
337	0.3229624066
338	0.3224994391
339	0.3218312013
340	0.3209754404
341	0.3205455214
342	0.3200270742
343	0.3198208559
344	0.3195627741
345	0.3189041249
346	0.3183561732
347	0.3181265127
348	0.3176077295
349	0.3170071619
350	0.3164251087
351	0.3156646222
352	0.3151870394
353	0.314774105
354	0.3143839877
355	0.3140521942
356	0.3131410595
357	0.3126346141
358	0.3119572739
359	0.3114574482
360	0.3107208147
361	0.3104386892
362	0.3098640344
363	0.3089690998
364	0.3083632207
365	0.3078478
366	0.3074747431
367	0.3069688587
368	0.306412866
369	0.3054587663
370	0.3051550278
371	0.3047781583
372	0.3043428444
373	0.3037729886
374	0.3036110436
375	0.3032636794
376	0.3026207711
377	0.3023591589
378	0.3021559479
379	0.3017274595
380	0.3013025538
381	0.3010617619
382	0.300813499
383	0.3004839677
384	0.2997342332
385	0.2993715915
386	0.2990139744
387	0.2984258929
388	0.2980438439
389	0.2971865381
390	0.2969003946
391	0.2962378283
392	0.2955566152
393	0.2952189092
394	0.2949944915
395	0.2949210947
396	0.2943052435
397	0.2941640289
398	0.2935708305
399	0.2929908309
400	0.2925994179
401	0.2923258003
402	0.2917425377
403	0.291284335
404	0.2908610079
405	0.2904928238
406	0.2900218354
407	0.2893876419
408	0.2891447974
409	0.2888153555
410	0.2885518729
411	0.2881936521
412	0.2879473059
413	0.2873733746
414	0.2871656576
415	0.2867434855
416	0.2864980937
417	0.2858925712
418	0.2857530031
419	0.2856525827
420	0.2853020302
421	0.284710439
422	0.2840345818
423	0.2838392778
424	0.2835311139
425	0.283203511
426	0.2827999069
427	0.2826795548
428	0.282577965
429	0.2819567422
430	0.2816913569
431	0.2813484562
432	0.28107016
433	0.2806356519
434	0.2801091989
435	0.2799145491
436	0.2794532153
437	0.2792376243
438	0.2788568954
439	0.2787066951
440	0.2785656785
441	0.2782734521
442	0.2777667466
443	0.2776918437
444	0.2774231274
445	0.2768210978
446	0.2765214847
447	0.2762663388
448	0.2760078008
449	0.2757293719
450	0.2753954376
451	0.2748041657
452	0.2743760192
453	0.2738123872
454	0.2733246973
455	0.2730564801
456	0.2725789118
457	0.2719808226
458	0.2715138316
459	0.2713811065
460	0.2710449412
461	0.2708806667
462	0.2705271033
463	0.2703109038
464	0.2699948489
465	0.2696532485
466	0.2691724785
467	0.2687029709
468	0.2680866196
469	0.2676635836
470	0.2673763869
471	0.2672760624
472	0.2669978576
473	0.266709902
474	0.2664821536
475	0.2662095876
476	0.2659805648
477	0.2656187874
478	0.2651565428
479	0.2643812129
480	0.2639956188
481	0.263702542
482	0.263318647
483	0.2629955382
484	0.2625955285
485	0.2622506557
486	0.2617532728
487	0.2613269462
488	0.2608970347
489	0.2604181844
490	0.2596381846
491	0.259423827
492	0.2590946755
493	0.2588217106
494	0.2582804899
495	0.2578024153
496	0.2571276943
497	0.2570456972
498	0.2567239497
499	0.2565058285
500	0.2561595953
501	0.2558401125
502	0.2555513987
503	0.2552276854
504	0.2549675249
505	0.2546218382
506	0.2541697555
507	0.2538511338
508	0.2534641407
509	0.2529949557
510	0.2526978641
511	0.2525575888
512	0.2522251515
513	0.2520349059
514	0.2519128427
515	0.2517259048
516	0.251375807
517	0.2509422789
518	0.250664362
519	0.2502760774
520	0.2499230876
521	0.2497649626
522	0.2494801672
523	0.2493747844
524	0.2491204923
525	0.2487430963
526	0.2484032773
527	0.2479890951
528	0.2477463832
529	0.247129825
530	0.2468847319
531	0.2465425986
532	0.2461447341
533	0.2457136003
534	0.2454516152
535	0.2450247959
536	0.2448248754
537	0.2444009534
538	0.2440271334
539	0.2436067629
540	0.2431006043
541	0.242892035
542	0.2424683118
543	0.2422132319
544	0.2418251176
545	0.2415572911
546	0.2412698682
547	0.2409760606
548	0.240467831
549	0.2401034016
550	0.2398656523
551	0.2395884981
552	0.2392769331
553	0.2390008145
554	0.2385986362
555	0.2384097782
556	0.2379650505
557	0.2376612305
558	0.2371774313
559	0.2369145621
560	0.2365594897
561	0.2361062479
562	0.2358540927
563	0.2356623654
564	0.2352589738
565	0.2350200494
566	0.2342842814
567	0.2340587738
568	0.2337014074
569	0.2335736642
570	0.2333202799
571	0.2329043226
572	0.2326620726
573	0.2324081832
574	0.232034564
575	0.231685687
576	0.2314521719
577	0.2310161795
578	0.2309525646
579	0.2306920947
580	0.2304740556
581	0.2301268279
582	0.2298180611
583	0.2296905264
584	0.229183457
585	0.2288384077
586	0.2285091667
587	0.2282307224
588	0.228066621
589	0.227688215
590	0.2275424562
591	0.2273578465
592	0.2267449431
593	0.2263563664
594	0.226217268
595	0.225761048
596	0.225479288
597	0.224893596
598	0.2245524869
599	0.2242064437
600	0.223851275
601	0.2234133626
602	0.2232123042
603	0.2229180156
604	0.2226166928
605	0.2224018107
606	0.222078784
607	0.2216890592
608	0.2212149562
609	0.220821804
610	0.2204305506
611	0.220297442
612	0.2199996287
613	0.2197649914
614	0.2196249064
615	0.2193306706
616	0.219092161
617	0.2186719564
618	0.2183112583
619	0.217992918
620	0.2178495058
621	0.2174682702
622	0.2170527849
623	0.2166312452
624	0.2162707049
625	0.215863984
626	0.2155923511
627	0.2151022331
628	0.2148853211
629	0.2145814108
630	0.2143091201
631	0.2141892752
632	0.2138804732
633	0.213610798
634	0.2131102117
635	0.2125108546
636	0.2121564705
637	0.2118827471
638	0.211633531
639	0.2113041865
640	0.2110425096
641	0.2106939418
642	0.2104802282
643	0.2102637936
644	0.2099678762
645	0.2095610055
646	0.2094435252
647	0.2091800539
648	0.2087418171
649	0.2084257663
650	0.208227184
651	0.2081286264
652	0.2076593883
653	0.2073592781
654	0.2071497246
655	0.2068244275
656	0.2063439283
657	0.2060246131
658	0.2056456941
659	0.2053978381
660	0.2052449452
661	0.2050062694
662	0.2048828373
663	0.2045497054
664	0.2042395483
665	0.2040368285
666	0.2036862607
667	0.2033943027
668	0.2031301886
669	0.2028028861
670	0.2023276044
671	0.2019505304
672	0.2017525314
673	0.2012685596
674	0.2009478279
675	0.2004726134
676	0.2002745192
677	0.2000603387
678	0.1997056455
679	0.1995432618
680	0.1994084582
681	0.1991687367
682	0.1990178607
683	0.1987128425
684	0.1983524795
685	0.198098631
686	0.1976987579
687	0.1975462646
688	0.1973369751
689	0.1971395485
690	0.1970003896
691	0.196807246
692	0.1964685184
693	0.1961465314
694	0.195798069
695	0.1956131863
696	0.1954002131
697	0.1948647167
698	0.1942789138
699	0.1939662448
700	0.1938483857
701	0.1934567209
702	0.1931904845
703	0.1928386388
704	0.1925332386
705	0.19228125
706	0.1917593511
707	0.1915056548
708	0.1911359624
709	0.1908132313
710	0.1906684518
711	0.1903164059
712	0.1901127838
713	0.189746877
714	0.1895164208
715	0.1893656549
716	0.1892208576
717	0.1889345521
718	0.1884244214
719	0.1881110293
720	0.1878799777
721	0.1876070296
722	0.1874866777
723	0.1872948991
724	0.1870336804
725	0.186851315
726	0.1866037889
727	0.1864475044
728	0.1861220435
729	0.1859101367
730	0.185643967
731	0.1853867385
732	0.1850894587
733	0.1847290977
734	0.1843056578
735	0.1841388561
736	0.1840012217
737	0.1836621842
738	0.1834602271
739	0.1833236166
740	0.1831294767
741	0.1826118898
742	0.1823447226
743	0.1821858129
744	0.1819375792
745	0.1816143377
746	0.1813418497
747	0.1811918387
748	0.1809545587
749	0.1807281861
750	0.1805012774
751	0.1804493783
752	0.179900899
753	0.1795805249
754	0.1792147876
755	0.1788146281
756	0.1784935379
757	0.1781369704
758	0.1778648065
759	0.1775357182
760	0.1774181733
761	0.1772069961
762	0.1770261433
763	0.1768266077
764	0.1765189204
765	0.1763014431
766	0.1761543425
767	0.1758445054
768	0.1756652049
769	0.1754992795
770	0.1751667675
771	0.1748409413
772	0.1745123663
773	0.1742635172
774	0.1740088999
775	0.1738760773
776	0.1736128313
777	0.1734775939
778	0.1732424666
779	0.1730903416
780	0.17273833
781	0.1724033989
782	0.1720782827
783	0.1719472877
784	0.1716474457
785	0.1713567918
786	0.1710195945
787	0.1708373152
788	0.1707456158
789	0.170469748
790	0.1701804922
791	0.1700500461
792	0.169799273
793	0.169613653
794	0.1694256876
795	0.1690808828
796	0.168695723
797	0.1685572625
798	0.1683638243
799	0.1681513109
800	0.167786771
801	0.1675808344
802	0.1674600844
803	0.1672342423
804	0.1671320809
805	0.1670108602
806	0.1668148239
807	0.1666186438
808	0.1665126974
809	0.166242615
810	0.1661001363
811	0.16573702
812	0.165552157
813	0.165188804
814	0.1648829796
815	0.164673595
816	0.1644742755
817	0.1641835356
818	0.164015566
819	0.1638213323
820	0.1636805357
821	0.1634406397
822	0.1632235593
823	0.1630965875
824	0.1628830578
825	0.1625444924
826	0.1625159601
827	0.1622822925
828	0.1621123849
829	0.1619010928
830	0.1617284645
831	0.161427886
832	0.1612999974
833	0.16116149
834	0.1609281531
835	0.1608192737
836	0.1606417134
837	0.1602678261
838	0.1600333144
839	0.1598860006
840	0.1597681688
841	0.1595191244
842	0.1593178757
843	0.159069107
844	0.1588050258
845	0.1583775663
846	0.158253073
847	0.1581168043
848	0.1578965334
849	0.1577361616
850	0.1574439249
851	0.157407651
852	0.1571057191
853	0.1568384608
854	0.1565029023
855	0.1563642999
856	0.1562052665
857	0.1560487843
858	0.1557916015
859	0.1556632593
860	0.1555270526
861	0.1554153066
862	0.1551943316
863	0.1549507148
864	0.1546172251
865	0.1545299492
866	0.1542430739
867	0.1540441501
868	0.1539127448
869	0.1536491569
870	0.1534137774
871	0.1531996971
872	0.1528038224
873	0.1526049186
874	0.1524579711
875	0.1522972352
876	0.1521021896
877	0.1518404482
878	0.1516311967
879	0.1513494991
880	0.1511835845
881	0.1510147701
882	0.1509598776
883	0.1507167524
884	0.1504129419
885	0.150211222
886	0.1499233076
887	0.1498250617
888	0.1495805004
889	0.1494684939
890	0.1492980501
891	0.1491875549
892	0.1490620559
893	0.148897257
894	0.1486160062
895	0.1483287873
896	0.1481950427
897	0.1479915454
898	0.14786706
899	0.1475147898
900	0.1472509622
901	0.1470811913
902	0.1469250417
903	0.1467845416
904	0.1466445122
905	0.1463736277
906	0.14625843
907	0.1461039718
908	0.145978445
909	0.1457318089
910	0.1454999271
911	0.1452576637
912	0.1451363743
913	0.1450652311
914	0.1449455139
915	0.1448476765
916	0.1445306813
917	0.1442168055
918	0.1440312881
919	0.1437057769
920	0.1436251441
921	0.1434196188
922	0.1433030387
923	0.143157368
924	0.1430995466
925	0.1428439621
926	0.1425760901
927	0.1424177193
928	0.1421056449
929	0.1420135959
930	0.14181306
931	0.1416809229
932	0.1415242181
933	0.1413609563
934	0.1409792619
935	0.1407481586
936	0.1406255641
937	0.140382267
938	0.1403111432
939	0.1402177859
940	0.1399343779
941	0.1397976326
942	0.1395669245
943	0.1394218313
944	0.1392088785
945	0.1388552629
946	0.1386942785
947	0.1385073355
948	0.1383748493
949	0.138210825
950	0.1380382841
951	0.1379375862
952	0.1377686346
953	0.137561242
954	0.1371969278
955	0.1370114965
956	0.1367906446
957	0.1364920798
958	0.136376996
959	0.1361662828
960	0.1360936954
961	0.1358122585
962	0.1356281117
963	0.1354483597
964	0.1353533665
965	0.1353037613
966	0.1352057602
967	0.1349254549
968	0.1348129104
969	0.1346941505
970	0.1345464638
971	0.134406222
972	0.1343270119
973	0.1341720367
974	0.1339728311
975	0.1337897806
976	0.1336736504
977	0.1334738574
978	0.1333523979
979	0.133220358
980	0.1330942422
981	0.1330116459
982	0.1327375335
983	0.1326716572
984	0.1324411631
985	0.1323032079
986	0.132132115
987	0.1320440273
988	0.1319429443
989	0.1318515363
990	0.1316734929
991	0.1315630882
992	0.1313955164
993	0.1312869411
994	0.131081501
995	0.1308979275
996	0.1306805317
997	0.1304828753
998	0.1303317282
999	0.1301647585
